Price,Close,High,Low,Open,Volume
Ticker,HSBA.L,HSBA.L,HSBA.L,HSBA.L,HSBA.L
Date,,,,,
2022-02-22,546.3365478515625,551.4303377158191,525.5647753011538,529.3571670225377,33523088
2022-02-23,547.1356201171875,552.3293257888025,545.4636391148589,548.1344073247622,23322309
2022-02-24,513.0770263671875,536.1489876308575,512.477717436009,529.956494442164,52435586
2022-02-25,537.3475952148438,540.2441029192319,513.0770747607512,520.9674582624995,44629598
2022-02-28,513.9758911132812,518.8699729908153,502.7894922745822,517.9710400872241,60091700
2022-03-01,494.7991943359375,520.6677778465864,494.7991943359375,514.3754304047361,56713395
2022-03-02,507.1841125488281,511.67865481218917,488.456853118157,489.30582830846055,44212228
2022-03-03,494.8491516113281,510.2803962234318,494.1999155190883,507.1841496748019,34114061
2022-03-04,467.0828552246094,494.1499960193044,467.03292805392414,491.95265185892663,54131412
2022-03-07,465.4847717285156,474.2741175536063,448.6552314545324,460.6406780955557,68194453
2022-03-08,469.77960205078125,481.36554056546447,466.68335539453255,468.930626768824,47760237
2022-03-09,488.4069519042969,488.4069519042969,474.87339722882797,485.06100861211104,34475941
2022-03-10,475.0575866699219,479.85310847217806,465.816193028078,476.456277988148,29138274
2022-03-11,479.2037048339844,490.1934699132089,471.7606549602013,477.40539183487545,37140644
2022-03-14,489.0445556640625,492.29153177419164,480.8521729751402,488.4950795949449,53449416
2022-03-15,479.2037048339844,484.09913954416595,472.4100440715916,482.5505939332212,45165553
2022-03-16,493.89007568359375,494.83917353473,481.20187923842207,484.5487685831738,52092680
2022-03-17,500.1342468261719,502.3321816481273,489.79387038966485,499.0352641706019,35435903
2022-03-18,500.53387451171875,501.43303106270525,495.3387003450649,500.63378757053613,57945933
2022-03-21,500.3340759277344,503.03157621832355,498.0362278944077,499.0352975591909,21108516
2022-03-22,516.1192626953125,520.3153666559169,506.328394106143,508.4264460864452,27931525
2022-03-23,509.22576904296875,515.1202428844341,509.22576904296875,511.82332551841216,31648296
2022-03-24,517.118408203125,519.1165474326245,509.3256774037509,510.6244861964366,38211757
2022-03-25,516.3191528320312,521.5143269049187,510.8242700772859,514.0213049666296,32835545
2022-03-28,518.2174072265625,525.8103117001366,517.0185115259012,521.7141507827763,40024764
2022-03-29,526.5096435546875,532.7038868510039,518.4172047339026,520.5152263605164,24471275
2022-03-30,526.1100463867188,529.107255297342,521.9140026945433,526.7095247558663,28460293
2022-03-31,524.9111328125,529.7066541539831,523.9120633255926,526.7094456932609,24854170
2022-04-01,528.407958984375,530.4060982719266,525.0110978041885,526.9093545187112,19607032
2022-04-04,524.6114501953125,528.507846231849,520.7151151371484,526.4098243527123,16925503
2022-04-05,527.208984375,528.4078799639171,521.3144499668688,523.0128803029712,25395152
2022-04-06,523.7122802734375,528.6076845745915,518.4172237533304,527.0091976555142,34022245
